time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
20,72.55324927400432,72.55324927400432,0.0,90.57081054910971,90.57081054910971,0.0,5.001476486466754,5.001476486466754,0.0,5.187345916775404,5.187345916775404,0.0,15.441842626998493,15.441842626998493,0.0
21,72.66297083480552,72.66297083480552,0.0,90.74501660517886,90.74501660517886,0.0,5.0037082272629245,5.0037082272629245,0.0,5.183363400368235,5.183363400368235,0.0,15.34537117145749,15.34537117145749,0.0
22,72.15837600475773,72.15837600475773,0.0,91.16069836962647,91.16069836962647,0.0,5.029747822610375,5.029747822610375,0.0,5.182768730684397,5.182768730684397,0.0,15.342059703829353,15.342059703829353,0.0
23,72.432074985008,72.432074985008,0.0,90.90141188549039,90.90141188549039,0.0,5.024666967051951,5.024666967051951,0.0,5.17983859209389,5.17983859209389,0.0,15.24283797216265,15.24283797216265,0.0
24,72.56642062130734,72.56642062130734,0.0,90.6023017828104,90.6023017828104,0.0,5.025367536070798,5.025367536070798,0.0,5.17910117555432,5.17910117555432,0.0,15.150864176925158,15.150864176925158,0.0
25,72.40225633400256,72.40225633400256,0.0,90.42847215798123,90.42847215798123,0.0,5.040385041918088,5.040385041918088,0.0,5.17778366393033,5.17778366393033,0.0,15.271962554648416,15.271962554648416,0.0
26,72.72545911659701,72.72545911659701,0.0,90.39854851295885,90.39854851295885,0.0,5.036414967602123,5.036414967602123,0.0,5.175770026044255,5.175770026044255,0.0,15.358221764547057,15.358221764547057,0.0
27,72.46442413857672,72.46442413857672,0.0,90.17702034957318,90.17702034957318,0.0,5.009184721390524,5.009184721390524,0.0,5.173417278655493,5.173417278655493,0.0,15.326096098560306,15.326096098560306,0.0
28,72.16339175177343,72.16339175177343,0.0,90.6331242364653,90.6331242364653,0.0,4.9736306199799,4.9736306199799,0.0,5.172922762045029,5.172922762045029,0.0,15.312959028147834,15.312959028147834,0.0
29,71.90516329787253,71.90516329787253,0.0,90.73555376616808,90.73555376616808,0.0,4.982824414696484,4.982824414696484,0.0,5.174814448719057,5.174814448719057,0.0,15.223007678339869,15.223007678339869,0.0
30,72.16835187366107,72.16835187366107,0.0,90.18219319841303,90.18219319841303,0.0,4.979594959277619,4.979594959277619,0.0,5.176063960444806,5.176063960444806,0.0,15.3346602476465,15.3346602476465,0.0
31,72.32109553587249,72.32109553587249,0.0,90.6290205577678,90.6290205577678,0.0,4.950184750846422,4.950184750846422,0.0,5.177003993319921,5.177003993319921,0.0,15.418837312593421,15.418837312593421,0.0
32,72.55222881897708,72.55222881897708,0.0,90.18998210980757,90.18998210980757,0.0,4.952705345264865,4.952705345264865,0.0,5.178061468893559,5.178061468893559,0.0,15.373785640735505,15.373785640735505,0.0
33,72.25197187513815,72.25197187513815,0.0,90.31968716582324,90.31968716582324,0.0,4.987909237414742,4.987909237414742,0.0,5.180318830114846,5.180318830114846,0.0,15.438972711049733,15.438972711049733,0.0
34,72.60572309781651,72.60572309781651,0.0,90.81413281250016,90.81413281250016,0.0,5.023628143764364,5.023628143764364,0.0,5.185379406917936,5.185379406917936,0.0,15.329804734293837,15.329804734293837,0.0
35,72.48443702839262,72.48443702839262,0.0,90.50571732565639,90.50571732565639,0.0,4.9851735476392225,4.9851735476392225,0.0,5.185338136186048,5.185338136186048,0.0,15.25502077059372,15.25502077059372,0.0
36,72.20878593961248,72.20878593961248,0.0,90.54286694825578,90.54286694825578,0.0,4.980987874995956,4.980987874995956,0.0,5.191083610498515,5.191083610498515,0.0,15.342789073217551,15.342789073217551,0.0
37,72.21555412829552,72.21555412829552,0.0,90.30483972237548,90.30483972237548,0.0,4.9672554350462725,4.9672554350462725,0.0,5.19648361929019,5.19648361929019,0.0,15.27931793494671,15.27931793494671,0.0
38,72.21023695488788,72.21023695488788,0.0,90.03047425728398,90.03047425728398,0.0,4.978348667861397,4.978348667861397,0.0,5.196793277397425,5.196793277397425,0.0,15.239529955987557,15.239529955987557,0.0
39,71.89807364275177,71.89807364275177,0.0,89.90601276471557,89.90601276471557,0.0,4.956096935547351,4.956096935547351,0.0,5.1980000238447355,5.1980000238447355,0.0,15.197111137295071,15.197111137295071,0.0
40,71.7047128727724,71.7047128727724,0.0,90.05190016045788,90.05190016045788,0.0,4.941638631517781,4.941638631517781,0.0,5.199105124644291,5.199105124644291,0.0,15.107093139717499,15.107093139717499,0.0
41,71.69361928021942,71.69361928021942,0.0,90.10307497160919,90.10307497160919,0.0,4.984184320082502,4.984184320082502,0.0,5.1962192669214256,5.1962192669214256,0.0,15.235436291085243,15.235436291085243,0.0
42,71.54010544465815,71.54010544465815,0.0,90.17968225004968,90.17968225004968,0.0,4.970289502993899,4.970289502993899,0.0,5.194683329610571,5.194683329610571,0.0,15.234097686488028,15.234097686488028,0.0
43,71.28150467596302,71.28150467596302,0.0,90.53786582569049,90.53786582569049,0.0,5.013932342583225,5.013932342583225,0.0,5.1908410343147775,5.1908410343147775,0.0,15.279342949069479,15.279342949069479,0.0
44,71.22390611406853,71.22390611406853,0.0,90.98154397385751,90.98154397385751,0.0,5.04241925927591,5.04241925927591,0.0,5.190268615664918,5.190268615664918,0.0,15.303828137461792,15.303828137461792,0.0
45,71.63158403202395,71.63158403202395,0.0,91.0505370276347,91.0505370276347,0.0,5.07575096348058,5.07575096348058,0.0,5.192586457373004,5.192586457373004,0.0,15.208070612647592,15.208070612647592,0.0
46,71.95204982518538,71.95204982518538,0.0,90.96418339593757,90.96418339593757,0.0,5.100781236440266,5.100781236440266,0.0,5.189522122657349,5.189522122657349,0.0,15.180328371182807,15.180328371182807,0.0
47,71.64637049943136,71.64637049943136,0.0,90.69360512936983,90.69360512936983,0.0,5.095751412741983,5.095751412741983,0.0,5.192536009345111,5.192536009345111,0.0,15.255713804320443,15.255713804320443,0.0
48,71.81786301979692,71.81786301979692,0.0,90.49278901409936,90.49278901409936,0.0,5.115431702862229,5.115431702862229,0.0,5.196593834220073,5.196593834220073,0.0,15.259516363724043,15.259516363724043,0.0
49,71.78973947108597,71.78973947108597,0.0,89.93350543436101,89.93350543436101,0.0,5.1217547299833655,5.1217547299833655,0.0,5.19823730997189,5.19823730997189,0.0,15.334342999338602,15.334342999338602,0.0
