time_s,scenario_name,action_type,status,detail,payload
95,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
96,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
97,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
98,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
99,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
100,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
101,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
102,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
103,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
104,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
105,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
106,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
107,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
108,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
109,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
