time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
8288,72.45453320444327,72.45453320444327,0.0,90.92799975628328,90.92799975628328,0.0,4.935252704477803,4.935252704477803,0.0,5.207176220959268,5.207176220959268,0.0,15.414604080093774,15.414604080093774,0.0
8289,72.4770575564304,72.4770575564304,0.0,91.2060404566803,91.2060404566803,0.0,4.974607191793962,4.974607191793962,0.0,5.203426650238636,5.203426650238636,0.0,15.381752528594681,15.381752528594681,0.0
8290,72.26183996399638,72.26183996399638,0.0,90.92890855589948,90.92890855589948,0.0,4.9659426792221355,4.9659426792221355,0.0,5.205266877689079,5.205266877689079,0.0,15.307711958136391,15.307711958136391,0.0
8291,72.60454801168304,72.60454801168304,0.0,90.5751005315789,90.5751005315789,0.0,4.996463726168973,4.996463726168973,0.0,5.207826737700916,5.207826737700916,0.0,15.356808239141696,15.356808239141696,0.0
8292,72.3014849936583,72.3014849936583,0.0,90.30878138198102,90.30878138198102,0.0,4.962180928801473,4.962180928801473,0.0,5.206512091751627,5.206512091751627,0.0,15.426711005340042,15.426711005340042,0.0
8293,72.3997936831251,72.3997936831251,0.0,90.64523950200662,90.64523950200662,0.0,4.987362616464486,4.987362616464486,0.0,5.209182657966658,5.209182657966658,0.0,15.535466142388056,15.535466142388056,0.0
8294,72.69031391247057,72.69031391247057,0.0,90.49357891748264,90.49357891748264,0.0,5.002280214901572,5.002280214901572,0.0,5.208408298309795,5.208408298309795,0.0,15.51546363600757,15.51546363600757,0.0
8295,72.26980516002757,72.26980516002757,0.0,90.76001034133196,90.76001034133196,0.0,4.962244329157202,4.962244329157202,0.0,5.209855676934555,5.209855676934555,0.0,15.585650225394538,15.585650225394538,0.0
8296,72.28724910941682,72.28724910941682,0.0,90.47492127746263,90.47492127746263,0.0,4.972478482648048,4.972478482648048,0.0,5.206873345246986,5.206873345246986,0.0,15.472933357454771,15.472933357454771,0.0
8297,72.22717012631468,72.22717012631468,0.0,90.50158945502481,90.50158945502481,0.0,4.980473793173417,4.980473793173417,0.0,5.209660838776344,5.209660838776344,0.0,15.448243218609454,15.448243218609454,0.0
