time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
805,72.96886809651625,72.96886809651625,0.0,89.82800826276929,89.82800826276929,0.0,4.996458420551983,4.996458420551983,0.0,5.194071355014277,5.194071355014277,0.0,14.966313882408983,14.966313882408983,0.0
806,72.9628574086753,72.9628574086753,0.0,90.07110242445712,90.07110242445712,0.0,4.996245530811611,4.996245530811611,0.0,5.190920510517982,5.190920510517982,0.0,15.05204974670919,15.05204974670919,0.0
807,72.41410461389309,72.41410461389309,0.0,89.7982105429709,89.7982105429709,0.0,4.978334029846987,4.978334029846987,0.0,5.190776906636301,5.190776906636301,0.0,15.124079501885962,15.124079501885962,0.0
808,72.72963491635612,72.72963491635612,0.0,89.59512623045747,89.59512623045747,0.0,5.01538650579193,5.01538650579193,0.0,5.196370620860987,5.196370620860987,0.0,15.091133693627958,15.091133693627958,0.0
809,72.58932886334892,72.58932886334892,0.0,89.52702072183624,89.52702072183624,0.0,4.9930809290943285,4.9930809290943285,0.0,5.1957094776770045,5.1957094776770045,0.0,15.063730069556254,15.063730069556254,0.0
810,72.67076708801999,72.67076708801999,0.0,89.37708985724869,89.37708985724869,0.0,5.002922400318673,5.002922400318673,0.0,5.198477207447965,5.198477207447965,0.0,15.146510966703904,15.146510966703904,0.0
811,72.56936206847685,72.56936206847685,0.0,89.85518500515647,89.85518500515647,0.0,5.004185291548381,5.004185291548381,0.0,5.198115059143499,5.198115059143499,0.0,15.20585615242899,15.20585615242899,0.0
812,72.10008696790537,72.10008696790537,0.0,90.11855364438401,90.11855364438401,0.0,4.995277032478174,4.995277032478174,0.0,5.200617471508572,5.200617471508572,0.0,15.135813009423838,15.135813009423838,0.0
813,72.0948456250823,72.0948456250823,0.0,89.80502890808063,89.80502890808063,0.0,4.979200112812821,4.979200112812821,0.0,5.1995485001272,5.1995485001272,0.0,15.044335061736938,15.044335061736938,0.0
814,72.33974983613439,72.33974983613439,0.0,89.74787037109782,89.74787037109782,0.0,4.9910197798196485,4.9910197798196485,0.0,5.195130066731981,5.195130066731981,0.0,15.05384364946409,15.05384364946409,0.0
815,71.9919553342165,71.9919553342165,0.0,89.89280515577352,89.89280515577352,0.0,5.010026988910189,5.010026988910189,0.0,5.1916511609595775,5.1916511609595775,0.0,15.104069175103891,15.104069175103891,0.0
816,72.34368755088421,72.34368755088421,0.0,89.70516615420796,89.70516615420796,0.0,5.001776919495093,5.001776919495093,0.0,5.191827555820691,5.191827555820691,0.0,15.057325564814878,15.057325564814878,0.0
817,72.35363994759068,72.35363994759068,0.0,89.60058503068834,89.60058503068834,0.0,4.99791502885172,4.99791502885172,0.0,5.189981811319728,5.189981811319728,0.0,15.049131237990741,15.049131237990741,0.0
818,72.6152658710137,72.6152658710137,0.0,89.96057753966674,89.96057753966674,0.0,4.968076121936774,4.968076121936774,0.0,5.186924470848254,5.186924470848254,0.0,15.03781763063412,15.03781763063412,0.0
819,72.39409180124403,72.39409180124403,0.0,89.88359444310375,89.88359444310375,0.0,4.995611223171632,4.995611223171632,0.0,5.188086596950458,5.188086596950458,0.0,15.007113692425587,15.007113692425587,0.0
820,72.22559798234444,72.22559798234444,0.0,90.05616398661147,90.05616398661147,0.0,5.029175688666323,5.029175688666323,0.0,5.189694055850183,5.189694055850183,0.0,15.047393814824922,15.047393814824922,0.0
821,71.90477579358614,71.90477579358614,0.0,89.96477327344986,89.96477327344986,0.0,5.042255558745197,5.042255558745197,0.0,5.189713890559837,5.189713890559837,0.0,15.118328038215683,15.118328038215683,0.0
822,72.13694135166028,72.13694135166028,0.0,90.04499531193011,90.04499531193011,0.0,5.006034728290006,5.006034728290006,0.0,5.1868520327794325,5.1868520327794325,0.0,15.06029062543713,15.06029062543713,0.0
823,72.2101663583622,72.2101663583622,0.0,89.89140747139373,89.89140747139373,0.0,5.033664257099126,5.033664257099126,0.0,5.18833829779103,5.18833829779103,0.0,15.113487072902123,15.113487072902123,0.0
824,72.47823199728329,72.47823199728329,0.0,89.85293385681767,89.85293385681767,0.0,5.027239759674993,5.027239759674993,0.0,5.18837222967468,5.18837222967468,0.0,15.208159293213006,15.208159293213006,0.0
825,72.4716249267182,72.4716249267182,0.0,89.78895401850441,89.78895401850441,0.0,5.033194828766324,5.033194828766324,0.0,5.189877421340286,5.189877421340286,0.0,15.295471201860728,15.295471201860728,0.0
826,72.02526887137677,72.02526887137677,0.0,89.77222695608349,89.77222695608349,0.0,4.991713547589311,4.991713547589311,0.0,5.194225070914826,5.194225070914826,0.0,15.370834813344498,15.370834813344498,0.0
827,72.29109995072582,72.29109995072582,0.0,90.04123814130004,90.04123814130004,0.0,4.956739166557745,4.956739166557745,0.0,5.193856377988859,5.193856377988859,0.0,15.461177408896921,15.461177408896921,0.0
828,72.37600487808784,72.37600487808784,0.0,90.24144531258621,90.24144531258621,0.0,4.970095658468513,4.970095658468513,0.0,5.197220670678392,5.197220670678392,0.0,15.503793792877545,15.503793792877545,0.0
829,72.27211701941405,72.27211701941405,0.0,90.59510953248277,90.59510953248277,0.0,4.941526690245514,4.941526690245514,0.0,5.195435838397204,5.195435838397204,0.0,15.464147518347833,15.464147518347833,0.0
830,72.12594205350258,72.12594205350258,0.0,90.26528584027729,90.26528584027729,0.0,4.953348466673668,4.953348466673668,0.0,5.193729095743449,5.193729095743449,0.0,15.43709748387355,15.43709748387355,0.0
831,72.2588081831042,72.2588081831042,0.0,90.1504847723521,90.1504847723521,0.0,4.96153051351024,4.96153051351024,0.0,5.196188784537537,5.196188784537537,0.0,15.539567603570074,15.539567603570074,0.0
832,71.8993360062047,71.8993360062047,0.0,90.34319186730565,90.34319186730565,0.0,5.005626793447975,5.005626793447975,0.0,5.196330142332907,5.196330142332907,0.0,15.578908960296337,15.578908960296337,0.0
833,72.26469663238268,72.26469663238268,0.0,90.35954554269345,90.35954554269345,0.0,5.013585311441267,5.013585311441267,0.0,5.1947884535358915,5.1947884535358915,0.0,15.501120885310893,15.501120885310893,0.0
